"group","module","id","name","description","version","active","link","free","limited","restricted"
"Táctico","Administrativo",13,"Sistema de Gestión Documental","Reporte que facilita la visualización relacionada al Sistema de Gestión Documental SGD. El reporte cuenta de tres dimensiones: Gestión de ahorro, gestión documental y gestión de usuarios a nivel de dependencia y fecha.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiMDk0ZjMzNzItZGZiNC00YWE5LTk0ZDctMjZiMTFkYWIzYjUxIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",True,False,False
"Táctico","Administrativo",14,"Trámite Cabildo","Reporte que permite conocer el estado de trámite de proveedores cuyos procesos de pago están aún pendientes.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiMmJiMTFiN2ItZWEyNC00NTkyLWIxZjItYTBmN2I3MjE4NjI0IiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",True,False,False
"Táctico","Aseguramiento",15,"Población Asegurada a Essalud","Reporte que muestra la población asegurada a EsSalud según seguro y asegurado, departamento, red y rango de edad (GCPS, GCSPE 1 y GCSPE 2).","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiYjM0Y2EyZTgtY2RiYy00ZWYzLTlhMWMtNTE0ZjA1M2M1NzQ4IiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",True,False,False
"Táctico","Aseguramiento",16,"Seguro Complementario de Trabajo de Riesgo","Reporte que contiene información sobre el seguro complementario de trabajo de riesgo (+ Protección) según SCTR, aportantes del SCTR, evolución de aporte, empresas, recaudación y brecha.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiNzIyOTUzNWUtOTk2MS00MTNkLTg3ODMtYWJmOWM0NWI1NTI5IiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",True,False,False
"Táctico","Aseguramiento",17,"Seguro contra accidentes","Reporte que contiene información sobre el seguro contra accidentes (+ Vida) según aportantes, monto de aporte, empresas, recaudación, siniestros y brecha.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiMjQxNDdlMzgtMmNmMC00YjY2LWFjZTItN2QzNDc2OThjZjU3IiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,False,True
"Táctico","Capital Humano",18,"Capital Humano","Reporte que muestra información sobre la planilla de trabajadores de EsSalud. El reporte muestra datos al nivel de sexo, grupo etario, sector, red asistencial, función, cargo y régimen laboral.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiYmNhMWIwZmYtMTA2MS00NGRlLWE4ODItZGU4NmFjMTYxOTFkIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Táctico","CEABE y Logística",19,"Monitoreo de Abastecimiento – Nacional","Reporte estratégico que permite ver información sobre el estado situacional del abastecimiento de bienes estratégicos de suministro centralizado a nivel nacional, sus coberturas nacionales y el estado de sus procesos de abastecimiento.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiODVlYjIxZGMtYzZkNi00YTQ4LWE2ZjgtYjljZjRjM2FhNGNkIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Táctico","CEABE y Logística",20,"Monitoreo de Riesgo de Vencimiento de bienes estratégicos","Reporte estratégico que permite ver información sobre los lotes de bienes estratégicos en riesgo de vencimiento (próximos 06 meses) en Almacenes e IPRESS de EsSalud","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiOGM3NjQ5MTYtZTEzMi00YTI0LThiMjAtNmMxYWU4NzhiNjFjIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Táctico","IETSI",21,"Eventos supuestamente atribuibles a vacunación e inmunización (ESAVI)","Eventos supuestamente atribuibles a vacunación e inmunización en vacunatorios de EsSalud","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiZTE1ZTE1YzQtZDRlYy00NGJiLWJiMTUtM2NjMzlkNWFmMGFlIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Táctico","IETSI",22,"Guía de práctica clínica: Enfermedad Hipertensiva del Embarazo","Indicadores para evaluación de la adherencia de la guía de práctica clínica para el manejo de la enfermedad hipertensiva del embarazo","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiMjc3ZDU3M2MtMTMzMS00M2FiLTkxY2QtZmMyZjMwMWU0NzJhIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Táctico","IETSI",23,"Guía de práctica clínica: Enfermedad Renal Crónica","Indicadores para evaluación de la adherencia de la guía de práctica clínica para el manejo de la enfermedad renal crónica en estadios 2, 3A, 3B, 4 y 5","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiMTBiODA3NzUtZTRiYi00MDgxLWE1ODAtOWE5YmY3NDZjZWYwIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Táctico","IETSI",24,"Guía de práctica clínica: Hemofilia","Indicadores para evaluación de la adherencia de la guía de práctica clínica para el manejo de la hemofilia","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiZDUwYjRiZjItNTlmMC00MDQyLWE4MjUtZmIwNjFmZmI5NzQyIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
